AreaOfInterest,AreaCurrentPercent,AreaCurrent,PopulationCurrent,PopulationCurrentPercent,PercentChangeFromWAve,AreaChangeFromWAve,StatisticFormatID,USDMLevelID,USDMLevel,AreaMiles,MapDate
CONUS,1.05,"31,479.86","2,529,119.62",0.83,0.00,0.00,1,5,D4  ,"3,007,441.07",2000-10-17
CONUS,64.23,"1,931,775.10","121,010,854.47",39.59,0.00,0.00,1,1,D0  ,"3,007,441.07",2000-10-24
CONUS,39.24,"1,180,137.51","86,822,612.36",28.40,0.00,0.00,1,2,D1  ,"3,007,441.07",2000-10-24
CONUS,17.21,"517,712.23","44,665,453.55",14.61,0.00,0.00,1,3,D2  ,"3,007,441.07",2000-10-24
CONUS,7.69,"231,204.25","22,147,115.40",7.25,0.00,0.00,1,4,D3  ,"3,007,441.07",2000-10-24
CONUS,1.69,"50,856.54","4,035,114.81",1.32,0.00,0.00,1,5,D4  ,"3,007,441.07",2000-10-24
CONUS,59.75,"1,796,802.64","128,724,875.28",42.11,0.00,0.00,1,1,D0  ,"3,007,441.07",2000-10-31
CONUS,34.70,"1,043,473.45","89,977,312.52",29.44,0.00,0.00,1,2,D1  ,"3,007,441.07",2000-10-31
CONUS,16.97,"510,320.06","51,962,908.76",17.00,0.00,0.00,1,3,D2  ,"3,007,441.07",2000-10-31
CONUS,9.10,"273,527.19","36,776,372.45",12.03,0.00,0.00,1,4,D3  ,"3,007,441.07",2000-10-31
CONUS,2.63,"79,138.07","6,931,589.14",2.27,0.00,0.00,1,5,D4  ,"3,007,441.07",2000-10-31
CONUS,45.32,"1,362,857.69","135,587,995.09",44.36,0.00,0.00,1,1,D0  ,"3,007,441.07",2000-11-07
CONUS,19.92,"599,072.12","58,631,862.27",19.18,0.00,0.00,1,2,D1  ,"3,007,441.07",2000-11-07
CONUS,12.44,"374,240.09","46,226,559.98",15.12,0.00,0.00,1,3,D2  ,"3,007,441.07",2000-11-07
CONUS,7.49,"225,256.16","34,749,648.93",11.37,0.00,0.00,1,4,D3  ,"3,007,441.07",2000-11-07
CONUS,0.99,"29,758.94","2,820,988.70",0.92,0.00,0.00,1,5,D4  ,"3,007,441.07",2000-11-07
CONUS,36.89,"1,109,441.33","92,557,723.61",30.28,0.00,0.00,1,1,D0  ,"3,007,441.07",2000-11-14
CONUS,18.89,"568,031.62","57,721,368.36",18.88,0.00,0.00,1,2,D1  ,"3,007,441.07",2000-11-14
CONUS,11.93,"358,822.67","45,445,107.46",14.87,0.00,0.00,1,3,D2  ,"3,007,441.07",2000-11-14
CONUS,5.83,"175,353.74","28,205,958.73",9.23,0.00,0.00,1,4,D3  ,"3,007,441.07",2000-11-14
CONUS,0.72,"21,637.77","1,858,412.70",0.61,0.00,0.00,1,5,D4  ,"3,007,441.07",2000-11-14
CONUS,35.77,"1,075,636.93","85,987,757.28",28.13,0.00,0.00,1,1,D0  ,"3,007,441.07",2000-11-21
CONUS,17.68,"531,759.75","53,653,702.08",17.55,0.00,0.00,1,2,D1  ,"3,007,441.07",2000-11-21
CONUS,10.71,"321,960.60","43,179,972.22",14.13,0.00,0.00,1,3,D2  ,"3,007,441.07",2000-11-21
CONUS,2.64,"79,495.11","13,933,811.52",4.56,0.00,0.00,1,4,D3  ,"3,007,441.07",2000-11-21
CONUS,35.57,"1,069,728.75","81,808,376.90",26.76,0.00,0.00,1,1,D0  ,"3,007,441.07",2000-11-28
CONUS,16.21,"487,609.26","51,265,570.78",16.77,0.00,0.00,1,2,D1  ,"3,007,441.07",2000-11-28
CONUS,9.04,"271,891.45","39,193,475.10",12.82,0.00,0.00,1,3,D2  ,"3,007,441.07",2000-11-28
CONUS,0.71,"21,402.14","7,460,967.60",2.44,0.00,0.00,1,4,D3  ,"3,007,441.07",2000-11-28
CONUS,33.86,"1,018,186.47","80,864,852.49",26.46,0.00,0.00,1,1,D0  ,"3,007,441.07",2000-12-05
CONUS,16.74,"503,513.14","53,756,230.51",17.59,0.00,0.00,1,2,D1  ,"3,007,441.07",2000-12-05
CONUS,9.06,"272,324.10","39,340,490.04",12.87,0.00,0.00,1,3,D2  ,"3,007,441.07",2000-12-05
CONUS,0.81,"24,417.84","8,562,984.26",2.80,0.00,0.00,1,4,D3  ,"3,007,441.07",2000-12-05
CONUS,0.14,"4,109.31","2,242,606.76",0.73,0.00,0.00,1,5,D4  ,"3,007,441.07",2000-12-05
CONUS,33.15,"997,085.12","77,400,847.38",25.32,0.00,0.00,1,1,D0  ,"3,007,441.07",2000-12-12
CONUS,17.06,"513,018.39","54,425,973.02",17.81,0.00,0.00,1,2,D1  ,"3,007,441.07",2000-12-12
CONUS,9.29,"279,480.42","40,062,743.82",13.11,0.00,0.00,1,3,D2  ,"3,007,441.07",2000-12-12
CONUS,1.10,"32,989.70","9,796,569.22",3.21,0.00,0.00,1,4,D3  ,"3,007,441.07",2000-12-12
CONUS,0.25,"7,510.45","4,824,863.56",1.58,0.00,0.00,1,5,D4  ,"3,007,441.07",2000-12-12
CONUS,29.35,"882,755.68","67,502,295.04",22.08,0.00,0.00,1,1,D0  ,"3,007,441.07",2000-12-19
CONUS,15.34,"461,337.79","49,886,845.08",16.32,0.00,0.00,1,2,D1  ,"3,007,441.07",2000-12-19
CONUS,7.53,"226,340.75","35,260,266.39",11.54,0.00,0.00,1,3,D2  ,"3,007,441.07",2000-12-19
CONUS,0.88,"26,567.29","8,667,687.16",2.84,0.00,0.00,1,4,D3  ,"3,007,441.07",2000-12-19
CONUS,0.30,"9,038.61","5,415,693.18",1.77,0.00,0.00,1,5,D4  ,"3,007,441.07",2000-12-19
